rErrorMsg,rWouldTakeAgain,rClass,rTextBookUse,easyColor,teacherGrade,rEasy,rClarity,usefulGrouping,rInterest,sId,quality,id,rStatus,attendance,teacherRatingTags,rOverallString,rComments,rDate,TeacherID,takenForCredit,onlineClass,notHelpCount,rHelpful,teacher,helpColor,rEasyString,unUsefulGrouping,rOverall,helpCount,clarityColor
,Yes,CSE205,No,average,A,2,5,people,N/A,45,awesome,26730828,1,N/A,"[u'LOTS OF HOMEWORK', u'Caring']",5.0,"I really enjoyed having Navabi for the 2 classes I took with her (110 and 205). She genuinely cares and wants you to do well, you just have to put in the effort. Yes, assignments can be very long and tedious, however certain parts of the exams often mirrored the assignments. She is very kind and I genuinely enjoyed the class.",06/16/2016,11705,Yes,,0,5,,good,2.0,people,5,0,good
,N/A,CSE110,Yes,average,B,3,3,people,N/A,45,good,26599695,1,Mandatory,"[u'LOTS OF HOMEWORK', u'Tough Grader', u'BEWARE OF POP QUIZZES']",3.5,"She drops your lowest quiz, exam, and lab assignment. Her lectures are really dry, reads straight from powerpoints. Expect A LOT of pop quizzes. Studying the terminology of the class helps a lot with exams. DO NOT leave your coding assignment for the  last minute, the tutoring center is your best friend when it comes to this. Do research on methods",05/17/2016,11705,Yes,,1,4,,average,3.0,person,3.5,0,average
,N/A,CSE110,Yes,average,A,2,4,person,N/A,45,good,26521973,1,N/A,"[u'LOTS OF HOMEWORK', u'Gives good feedback', u'BEWARE OF POP QUIZZES']",4.0,"Great teacher, but I did notice allot of other people struggling in this class. I have an interest in programming, so this class came rather easy to me. I learned most of the material off of ""thenewboston"" on my own time, and actually enjoyed it. The tests are very straight forward, and she drops lowest one including the final. Gives pop quizes.",05/10/2016,11705,Yes,,2,4,,good,2.0,people,4,1,good
,N/A,CSE205,No,average,B,3,5,person,N/A,45,awesome,26519734,1,Mandatory,"[u'BEWARE OF POP QUIZZES', u'LOTS OF HOMEWORK', u""Skip class? You won't pass.""]",4.5,"great professor, helpful, lets you use a sheet of notes on exams. exams are somewhat hard. expect pop quizzes. definitely would take her again. start on assignments early. study ahead and start ahead on assignments.",05/09/2016,11705,Yes,,1,4,,good,3.0,person,4.5,1,good
,N/A,CSE110,Yes,poor,A,1,5,person,N/A,45,awesome,26507664,1,Mandatory,[],4.5,"There's a weekly programming assignment along with a weekly assignment due during lab time. There's a couple of tests that aren't too difficult, and she drops your lowest test grade. Make sure you go to class because you never know when there's going to be a quiz. I definitely recommend taking CSE110 with Navabi.",05/08/2016,11705,Yes,,1,4,,good,1.0,person,4.5,1,good
,N/A,CSE205,No,average,A+,2,4,person,N/A,45,good,26496664,1,Not Mandatory,"[u'LOTS OF HOMEWORK', u'EXTRA CREDIT']",4.0,"Navabi is a great professor! Her grading system is made so that you can get over 100%. Go to class because the quizzes are super easy and are basically easy points and be sure to use them as a guide on the exams. If you did the quizzes and assignments, exams are no big deal. There are 4 exams, but the lowest is dropped. Take her!!!",05/07/2016,11705,Yes,,1,4,,good,2.0,person,4,1,good
,Yes,CSE205,No,poor,A+,1,3,person,N/A,45,good,26469638,1,Not Mandatory,"[u'LOTS OF HOMEWORK', u'Clear grading criteria']",3.5,"Super easy professor. All ""pop"" quizzes were open-note and you could work with your neighbors. Exams were exactly like the review, and lots of things get dropped from the final grade. Assignments were easy (half the code was written for you) and actually helped with understanding. I really learned a lot in this class.",05/04/2016,11705,Yes,,1,4,,average,1.0,person,3.5,1,average
,N/A,CSE100,Yes,average,Not sure yet,3,2,person,Sorta interested,45,average,26144322,1,Not Mandatory,"[u'Get ready to read', u'LOTS OF HOMEWORK', u'Tough Grader']",3.0,"If you have no previous coding experience before this class I do not recommend taking it. She goes really fast and covers topics very briefly so you'll have so teach yourself most of it. If you have had some previous experience go for it because its not that hard, but if you really want to understand the material, take another teacher.",03/15/2016,11705,Yes,,1,4,,average,3.0,person,3,1,average
,N/A,CSE110,No,average,A,3,2,person,It's my life,45,average,25690065,1,Not Mandatory,"[u'Tough Grader', u'LOTS OF HOMEWORK', u'Gives good feedback']",3.0,I had previous experience with what was being taught and still was confused by what was being said in the lectures. Stopped going to lecture and self studied the professor was not helpful in learning the information. But the self studying paid off. ,12/14/2015,11705,Yes,,1,4,,average,3.0,person,3,1,average
,N/A,CSE110,Yes,poor,A,1,5,person,Really into it,45,awesome,25649585,1,Not Mandatory,"[u'Respected', u'BEWARE OF POP QUIZZES', u'Clear grading criteria']",4.5,"Navabi was really helpful and seemed excited to teach. Java was pretty easy for me, so I usually ditched class and just read the textbook. She gives out random pop quizzes to encourage attendance, but they're really predictable and and she drops the lowest. Her assignments and tests were a reasonable length and fairly easy. Would take again",12/11/2015,11705,Yes,,3,4,,good,1.0,people,4.5,1,good
